date,time,group,subject,build,age_response,age_latency,gender_response,gender_latency,race_response,race_latency,comments_response,comments_latency,
60617,11:07:25,71174427,269399402,5.0.7.0,24,9084,Male,9084,Black,9084,,9084,
60617,09:56:11,569002266,948186453,5.0.7.0,55,16961,Female,16961,white,16961,thanx,16961,
60617,06:31:26,212450228,189809649,5.0.7.0,29,16556,Male,16556,white,16556,Were these real people!?,16556,
60617,07:08:10,687383432,267642063,5.0.7.0,59,14785,Male,14785,Black,14785,No Comments,14785,
60617,07:07:10,652518927,546951938,5.0.7.0,54,23409,Female,23409,white,23409,Have a blessed day!,23409,
60617,06:00:49,833418511,780677570,5.0.7.0,26,14378,Male,14378,White,14378,,14378,
60617,06:58:13,690217127,737816035,5.0.7.0,50,16998,Male,16998,white,16998,none,16998,
60617,06:42:07,725004272,153240160,5.0.7.0,41,10962,Female,10962,WHITE,10962,NONE,10962,
60617,06:35:08,131006319,169807408,5.0.7.0,34,17771,Male,17771,w,17771,Your low pay rate leaves a lot to be desired.,17771,
60617,06:16:13,515293070,325573897,5.0.7.0,46,13644,Female,13644,WHITE,13644,,13644,
60617,05:39:19,597026820,559654489,5.0.7.0,54,166005,Female,166005,Hispanic,166005,It was difficult to choose.  Sometimes I chose to trust a face and others I did not trust the same face depending on the faces in the group. I felt that I was not being consistent.,166005,
60617,05:38:03,233093312,722133997,5.0.7.0,54,18820,Male,18820,Caucasian,18820,,18820,
60617,01:55:57,873763266,362505837,5.0.7.0,21,88898,Female,88898,latina,88898,"some men looked super young and i automatically do not trust them. I would much rather trust no one. But for the purposes of the study i ""opened my mind""",88898,
60617,03:42:35,717668905,542383358,5.0.7.0,32,22949,Female,22949,white,22949,,22949,
60617,03:56:34,930322191,44659858,5.0.7.0,20,29077,Male,29077,White,29077,Facial expression mattered to me it seems.,29077,
60617,03:30:45,814722013,456698472,5.0.7.0,54,36353,Male,36353,Caucasian,36353,I was troubled how  simply a happy expression vs. a scowl effected my judgment.,36353,
60617,00:27:53,515730006,393568634,5.0.7.0,28,22559,Male,22559,American,22559,,22559,
60617,15:08:11,8745812,159733834,5.0.7.0,50,70251,Female,70251,Caucasian,70251,"In most cases it was a tossup. I imagined, would I rather get in an elevator with the first four guys or with the one guy. Thanks, it was interesting.",70251,
60617,01:55:54,188149394,315790043,5.0.7.0,58,19151,Male,19151,WHITE,19151,NONE,19151,
60617,02:51:36,519742981,698176834,5.0.7.0,19,10715,Male,10715,White,10715,,10715,
60617,02:50:23,585946730,431652151,5.0.7.0,48,25937,Male,25937,American,25937,Thank you for the opportunity to assist you.,25937,
60517,21:37:52,570648051,545352941,5.0.7.0,43,113559,Male,113559,Caucasian,113559,,113559,
60517,23:27:31,859585555,785562855,5.0.7.0,28,16305,Male,16305,Hispanic,16305,,16305,
60617,00:25:16,996121984,223283439,5.0.7.0,37,11338,Female,11338,White,11338,,11338,
60517,23:24:41,211791378,133670220,5.0.7.0,22,11619,Male,11619,White,11619,,11619,
60617,00:12:14,249581353,886233566,5.0.7.0,50,18355,Male,18355,Asian,18355,,18355,
60517,23:11:15,578696532,866662786,5.0.7.0,28,9370,Male,9370,White,9370,,9370,
60517,21:47:54,177385849,557483051,5.0.7.0,62,233822,Male,233822,White,233822,"Since none of the individual pictures looked like Trump or Freddy Kruger, I could not honestly say the individual picture looked less trustworthy than the group, so I had to answer more trustworty for all.",233822,
60517,21:38:12,201592967,657863591,5.0.7.0,31,31631,Male,31631,white,31631,Nope.,31631,
60517,20:33:25,753782370,804660680,5.0.7.0,55,18045,Female,18045,Asian,18045,,18045,
60517,18:32:48,360857013,198583671,5.0.7.0,22,13380,Male,13380,white,13380,,13380,
60517,20:31:02,634176342,660263353,5.0.7.0,64,17741,Female,17741,WHITE AMERICAN,17741,NONE,17741,
60517,20:33:43,364955548,821226171,5.0.7.0,35,194369,Female,194369,white,194369,Great study. In some of them it was equal so i did my best to decide how i felt but also as quick as i could. If you can see how long it took for each one then you will notice the ones that took me a few seconds longer were the ones that I felt were equal. Thank You so much!,194369,
60517,19:59:33,373420696,475383000,5.0.7.0,45,25828,Male,25828,white,25828,Hope I was of assistance,25828,
60517,16:49:41,406631009,694597263,5.0.7.0,19,7439,Male,7439,White,7439,,7439,
60517,16:29:00,444660842,442713105,5.0.7.0,61,54569,Male,54569,White,54569,Curious what you were looking for.,54569,
60517,19:27:02,897823622,595280660,5.0.7.0,26,18545,Female,18545,White,18545,,18545,
60517,19:28:02,137769171,807191447,5.0.7.0,48,15039,Female,15039,White,15039,no,15039,
60517,15:28:10,120531457,324345527,5.0.7.0,33,9211,Female,9211,white,9211,,9211,
60517,16:09:15,715952195,968493855,5.0.7.0,25,17364,Female,17364,Caucasian,17364,No,17364,
60517,17:00:22,704522434,236966491,5.0.7.0,41,15779,Female,15779,white,15779,no,15779,
60517,13:59:46,404862970,555850993,5.0.7.0,30,18821,Female,18821,Caucasian,18821,,18821,
60517,13:01:05,913169587,474143404,5.0.7.0,35,16729,Male,16729,white,16729,none,16729,
60517,15:14:02,708223591,266406598,5.0.7.0,30,49732,Female,49732,Black,49732,Interesting survey.,49732,
60517,11:38:41,515430071,154215644,5.0.7.0,35,17731,Male,17731,asian,17731,,17731,
60517,14:35:01,222578229,683914041,5.0.7.0,27,18604,Female,18604,White,18604,,18604,
60517,11:36:14,138604946,263748518,5.0.7.0,39,22491,Male,22491,Asian/Chinese,22491,Fun study!,22491,
60517,14:32:03,955997337,126640620,5.0.7.0,29,69286,Female,69286,Caucasian,69286,"The faces mostly looked fake, but some of them looked threatening because they seemed to have an angry expression. It had nothing to do with their looks.",69286,
60517,14:31:41,662184500,638558577,5.0.7.0,57,30010,Female,30010,African Amercian,30010,Thank you!,30010,
60517,11:31:06,266753826,727528813,5.0.7.0,57,17214,Female,17214,white,17214,interesting,17214,
60517,14:11:30,488724835,896449920,5.0.7.0,99,51989,Male,51989,swahili,51989,test,51989,
