date,time,group,subject,build,age_response,age_latency,gender_response,gender_latency,race_response,race_latency,comments_response,comments_latency,
80517,15:48:56,418688710,1396,5.0.7.0,31,8906,Female,8906,White (Caucasian),8906,no,8906,
80617,20:57:07,653000637,2050,5.0.8.0,38,14937,Female,14937,White (Caucasian),14937,,14937,
80517,19:23:59,67436138,2039,5.0.7.0,54,34537,Female,34537,White (Caucasian),34537,"Sorry, can't think of any. This was definitely interesting though! I wish I could figure out what you are testing for..",34537,
80517,20:19:58,288928514,2035,5.0.7.0,32,11518,Male,11518,White (Caucasian),11518,,11518,
80517,20:18:25,996539963,2025,5.0.7.0,43,12794,Male,12794,White (Caucasian),12794,,12794,
80517,20:17:02,117811825,2029,5.0.7.0,29,8163,Male,8163,White (Caucasian),8163,,8163,
80517,18:49:04,600183265,1834,5.0.7.0,43,49885,Male,49885,White (Caucasian),49885,,49885,
80517,20:08:30,493773397,2018,5.0.7.0,28,13489,Male,13489,White (Caucasian),13489,,13489,
80517,19:06:31,124296710,2007,5.0.7.0,44,23500,Male,23500,White (Caucasian),23500,,23500,
80517,17:56:15,967435873,1978,5.0.7.0,25,32321,Male,32321,White (Caucasian),32321,,32321,
80517,20:01:46,46759593,1989,5.0.7.0,38,33254,Male,33254,African-American,33254,MAYBE ADD A COUNTDOWN.,33254,
80517,18:59:08,13883771,1980,5.0.7.0,28,12775,Female,12775,Other,12775,,12775,
80517,17:05:10,834414602,2012,5.0.7.0,33,9472,Male,9472,White (Caucasian),9472,,9472,
80517,18:55:07,200331625,1974,5.0.7.0,38,10586,Female,10586,White (Caucasian),10586,,10586,
80517,18:55:27,994274612,1983,5.0.7.0,61,10691,Female,10691,White (Caucasian),10691,,10691,
80517,19:56:59,197813514,1991,5.0.7.0,20,6562,Female,6562,White (Caucasian),6562,,6562,
80517,19:49:26,15029110,1965,5.0.7.0,24,27604,Female,27604,African-American,27604,,27604,
80517,19:46:46,633637172,1963,5.0.7.0,67,22904,Male,22904,White (Caucasian),22904,no comments,22904,
80517,19:37:44,257084017,1941,5.0.7.0,41,62914,Female,62914,White (Caucasian),62914,Some of the photos seemed photo shopped.  It was difficult for me to be objective for those photos.,62914,
80517,18:41:05,950877784,1947,5.0.7.0,43,17956,Male,17956,White (Caucasian),17956,very interesting,17956,
80517,19:36:41,510788903,1943,5.0.7.0,30,19585,Female,19585,African-American,19585,not at this time,19585,
80517,19:37:42,978125970,1948,5.0.7.0,18,14274,Male,14274,White (Caucasian),14274,Good survey!,14274,
80517,16:27:29,490105591,1924,5.0.7.0,41,191423,Male,191423,White (Caucasian),191423,"Interesting. Were some of the pictures altered to increase or decrease the forehead size? Also, were some of the pictures altered to cause some of the subjects to have ""lazy eye""? It is truly very difficult to accurately ascertain the trustworthness of a person based on their physical appearance. Really, I just had to use my ""gut feeling"" to determine what I thought I saw in their eyes, i.e., how clear their gaze was versus others that appeared to not be open, honest and forthright persons. And of course, the question of racial bias comes up - will white study takers rate black subjects as less trustworthy? Did I? Do I have unconscious racial bias? I hope not, but perhaps I'm not immune.",191423,
80517,17:29:42,255027420,1931,5.0.7.0,26,19040,Female,19040,White (Caucasian),19040,,19040,
80517,19:25:56,641678541,1923,5.0.7.0,31,24597,Female,24597,White (Caucasian),24597,,24597,
80517,18:26:51,461479488,1928,5.0.7.0,38,36069,Male,36069,White (Caucasian),36069,It is very difficult to proove racism based on a few pictures.,36069,
80517,18:22:31,31619287,1906,5.0.7.0,44,15014,Female,15014,White (Caucasian),15014,None,15014,
80517,18:20:46,261158860,1909,5.0.7.0,33,129420,Female,129420,African-American,129420,"I have to say for me personally no one would score over a 7. I trust no one, so the number 7 for me is the most trust I can give to any other human.  I used people's eyes to make the decision",129420,
80517,19:24:48,335247578,1916,5.0.7.0,62,13417,Male,13417,White (Caucasian),13417,,13417,
80517,19:20:05,203651152,1907,5.0.7.0,47,8548,Female,8548,White (Caucasian),8548,,8548,
80517,19:17:19,662786731,1901,5.0.7.0,27,32964,Female,32964,White (Caucasian),32964,I could not enter my Mturk id on the front page because this program won't allow me to check my browser,32964,
80517,17:16:51,957056054,1902,5.0.7.0,38,6173,Male,6173,White (Caucasian),6173,,6173,
80517,18:03:34,586682559,1878,5.0.7.0,59,16417,Female,16417,White (Caucasian),16417,,16417,
80517,19:11:36,545858081,1889,5.0.7.0,34,41199,Female,41199,White (Caucasian),41199,I thought this survey was very interesting. I haven't taken one like it before. Made me think of immediate judgments I make about people before I get to know them.,41199,
80517,16:55:14,741006447,1870,5.0.7.0,30,106609,Female,106609,White (Caucasian),106609,It would be interesting if you could somehow get them to have the same facial expression across the board then judge how much people would trust them. Don't know the hypothesis behind the test but was strange seeing different facial expressions then being asked how much you would trust a person. There were some sultry/devious looks in there!,106609,
80517,19:06:14,379632657,1882,5.0.7.0,35,11019,Female,11019,White (Caucasian),11019,,11019,
80517,17:56:07,34785334,1868,5.0.7.0,59,23707,Female,23707,African-American,23707,No,23707,
80517,17:50:16,57522526,1843,5.0.7.0,33,13883,Female,13883,White (Caucasian),13883,,13883,
80517,18:49:22,359476856,1833,5.0.7.0,45,43379,Female,43379,White (Caucasian),43379,,43379,
80517,18:52:44,688199980,1858,5.0.7.0,31,8880,Female,8880,White (Caucasian),8880,,8880,
80517,18:49:46,813625525,1840,5.0.7.0,27,10093,Female,10093,White (Caucasian),10093,,10093,
80517,17:48:38,478899925,1846,5.0.7.0,20,7187,Female,7187,Asian-American,7187,,7187,
80517,17:31:13,465726847,1811,5.0.7.0,45,28876,Male,28876,White (Caucasian),28876,Most looked fairly trustworthy,28876,
80517,17:32:43,524024932,1815,5.0.7.0,35,8450,Female,8450,White (Caucasian),8450,,8450,
80517,18:22:11,403716437,1789,5.0.7.0,40,8812,Male,8812,White (Caucasian),8812,,8812,
80517,15:29:56,50013591,1807,5.0.7.0,59,41552,Male,41552,White (Caucasian),41552,An odd survey.  i'm not sure how you correlate visual looks with trustworthiness without defining what 'trustworthiness' really means.,41552,
80517,18:24:17,934663350,1797,5.0.7.0,49,12326,Female,12326,White (Caucasian),12326,Thank you,12326,
80517,15:24:31,550026226,1802,5.0.7.0,53,21216,Female,21216,White (Caucasian),21216,,21216,
80517,17:19:34,191218757,1794,5.0.7.0,47,24895,Female,24895,White (Caucasian),24895,No further comments at this time. Thank you!,24895,
80517,15:20:21,480659786,1792,5.0.7.0,29,47124,Male,47124,White (Caucasian),47124,get better at photoshop?,47124,
80517,18:20:30,383921454,1796,5.0.7.0,22,12198,Male,12198,White (Caucasian),12198,THERE WERE A LOT OF FACES!,12198,
80517,18:13:13,388948959,1782,5.0.7.0,19,9404,Male,9404,White (Caucasian),9404,n/a,9404,
80517,17:13:16,609285923,1781,5.0.7.0,62,23890,Female,23890,African-American,23890,none,23890,
80517,18:05:20,736297808,1766,5.0.7.0,54,14069,Female,14069,White (Caucasian),14069,,14069,
80517,17:10:39,123293093,1776,5.0.7.0,23,17923,Male,17923,White (Caucasian),17923,Nope!,17923,
80517,15:08:55,935637084,1773,5.0.7.0,37,14641,Male,14641,Asian-American,14641,NO,14641,
80517,18:07:47,917433889,1758,5.0.7.0,41,8424,Female,8424,White (Caucasian),8424,,8424,
80517,17:54:24,741630679,1747,5.0.7.0,28,31925,Female,31925,White (Caucasian),31925,none,31925,
80517,15:02:19,711428570,1760,5.0.7.0,33,9429,Male,9429,Asian-American,9429,,9429,
80517,17:50:24,306638626,1730,5.0.7.0,40,39800,Female,39800,African-American,39800,"Some of those faces were scary!  :)  In addition, the pictures looked like mug shots!",39800,
80517,17:31:49,280288410,1642,5.0.7.0,29,7023,Female,7023,African-American,7023,,7023,
80517,16:53:01,423621662,1746,5.0.7.0,38,17351,Female,17351,White (Caucasian),17351,,17351,
80517,17:58:13,691907819,1754,5.0.7.0,28,8754,Male,8754,White (Caucasian),8754,No,8754,
80517,17:49:24,657444378,1719,5.0.7.0,45,38581,Female,38581,African-American,38581,Very interesting and different than other surveys I've done.,38581,
80517,17:55:44,250541281,1733,5.0.7.0,30,6289,Male,6289,White (Caucasian),6289,,6289,
80517,16:50:05,214388192,1723,5.0.7.0,33,12792,Female,12792,African-American,12792,No,12792,
80517,17:45:58,880363463,1716,5.0.7.0,28,9832,Female,9832,White (Caucasian),9832,,9832,
80517,15:51:08,893399221,1739,5.0.7.0,26,68593,Male,68593,White (Caucasian),68593,,68593,
80517,11:50:32,629268523,1737,5.0.7.0,58,8352,Male,8352,White (Caucasian),8352,,8352,
80517,16:40:38,768749275,1693,5.0.7.0,22,15668,Female,15668,African-American,15668,,15668,
80517,14:41:39,32995498,1710,5.0.7.0,59,58155,Female,58155,White (Caucasian),58155,It was very interesting. I was trying to judge eyes but I know there has to be some racial bias although I tried not to be.,58155,
80517,14:42:41,317932912,1711,5.0.7.0,36,11015,Female,11015,White (Caucasian),11015,,11015,
80517,17:36:52,135165311,1695,5.0.7.0,30,9415,Male,9415,White (Caucasian),9415,,9415,
80517,17:31:36,109587297,1684,5.0.8.0,33,17354,Female,17354,Hispanic,17354,,17354,
80517,17:27:32,705273055,1670,5.0.7.0,35,15744,Female,15744,African-American,15744,No,15744,
80517,17:29:32,972160742,1681,5.0.7.0,40,18166,Female,18166,White (Caucasian),18166,none,18166,
80517,17:28:06,641486265,1669,5.0.7.0,30,8857,Male,8857,White (Caucasian),8857,,8857,
80517,16:21:20,658601605,1662,5.0.7.0,23,12167,Female,12167,White (Caucasian),12167,,12167,
80517,16:25:42,643904440,1671,5.0.7.0,31,12162,Female,12162,White (Caucasian),12162,,12162,
80517,17:17:15,898491556,1635,5.0.7.0,30,25093,Male,25093,White (Caucasian),25093,,25093,
80517,17:17:56,626156328,1631,5.0.7.0,34,9745,Female,9745,White (Caucasian),9745,,9745,
80517,17:05:02,245755507,1603,5.0.7.0,47,12733,Female,12733,White (Caucasian),12733,,12733,
80517,16:20:12,207584131,1651,5.0.7.0,29,14920,Female,14920,White (Caucasian),14920,,14920,
80517,14:13:40,640619701,1632,5.0.7.0,54,177228,Female,177228,Other,177228,It was different for me to try and gauge a persons trustworthiness by their faces. It really made me take stock in my everyday thinking about how I perceive someone to be just by their features.,177228,
80517,17:18:29,530452588,1656,5.0.7.0,21,6759,Female,6759,Asian-American,6759,,6759,
80517,14:10:52,900268490,1623,5.0.7.0,24,12945,Female,12945,White (Caucasian),12945,No.,12945,
80517,17:10:09,32915142,1617,5.0.7.0,30,40432,Female,40432,White (Caucasian),40432,,40432,
80517,16:21:08,10467135,1638,5.0.7.0,38,9389,Male,9389,White (Caucasian),9389,None at this time.,9389,
80517,17:14:19,491352589,1619,5.0.7.0,35,9607,Male,9607,Hispanic,9607,no,9607,
80517,17:05:29,382809188,1611,5.0.7.0,35,44872,Female,44872,African-American,44872,Funny how the hairstyle allows a person to form an opinion whether it is justified or not,44872,
80517,16:02:22,987332951,1598,5.0.7.0,26,11145,Female,11145,White (Caucasian),11145,,11145,
80517,14:05:12,827559150,1606,5.0.7.0,27,16037,Female,16037,White (Caucasian),16037,,16037,
80517,16:51:17,245807788,1573,5.0.7.0,46,265080,Female,265080,African-American,265080,"I work in retail so I notice that many times someone I think will be unfriendly based on the expression on their face turns out to be friendly or kind. Thus, when judgments are made based on external factors, they can often be wrong.",265080,
80517,15:54:05,116256739,1579,5.0.7.0,35,7969,Male,7969,White (Caucasian),7969,,7969,
80517,16:53:23,904215429,1569,5.0.7.0,32,12120,Male,12120,White (Caucasian),12120,Thanks,12120,
80517,13:41:27,865835982,1544,5.0.7.0,45,216047,Male,216047,White (Caucasian),216047,"The subtle differences in expression and proportions with each face is a good way to discern any underlying ethnic bias. I do not consider myself overly biased when it comes to ethnicity, but I found myself questioning why I chose some of my answers as I made them. This was a well thought out study. Thank you for the opportunity to participate.",216047,
80517,15:43:55,196774439,1554,5.0.7.0,79,46330,Female,46330,White (Caucasian),46330,Very difficult to rate-tried to base it more on eyes instead of overall look on face structure,46330,
80517,16:31:39,748440314,1501,5.0.7.0,48,400333,Male,400333,White (Caucasian),400333,"Thanks for allowing me to take your survey. I could tell by my ratings my opinion seemed to be based more on looks, eyes, and neatness of appearance. I hope my opinion helps.",400333,
80517,16:45:00,225566782,1553,5.0.7.0,39,11211,Male,11211,White (Caucasian),11211,,11211,
80517,13:50:13,952157386,1574,5.0.7.0,33,17140,Male,17140,White (Caucasian),17140,i like this,17140,
80517,12:14:11,911903336,1459,5.0.7.0,25,101814,Female,101814,Asian-American,101814,,101814,
80517,15:34:26,969758191,1513,5.0.7.0,36,11791,Female,11791,White (Caucasian),11791,none,11791,
80517,13:42:14,573362899,1549,5.0.7.0,33,21037,Male,21037,White (Caucasian),21037,good survey keep them coming,21037,
80517,16:36:03,913115533,1530,5.0.7.0,32,26675,Male,26675,White (Caucasian),26675,,26675,
80517,15:34:40,956998550,1517,5.0.7.0,29,15141,Male,15141,White (Caucasian),15141,,15141,
80517,16:24:18,846812910,1500,5.0.7.0,32,41692,Female,41692,White (Caucasian),41692,I think age automatically makes someone look more trustworthy.,41692,
80517,15:36:44,888697338,1522,5.0.7.0,48,31537,Female,31537,White (Caucasian),31537,I could tell that some of the skull shapes and eyes were altered but that's ok! It was effective!,31537,
80517,14:31:54,585551675,1510,5.0.7.0,44,14355,Female,14355,White (Caucasian),14355,,14355,
80517,15:25:30,456884527,1504,5.0.7.0,31,47733,Female,47733,White (Caucasian),47733,The survey is fine but it's difficult to ask for the person's mturk ID after they've opened Inquisit,47733,
80517,15:24:09,948718867,1497,5.0.7.0,36,85442,Female,85442,African-American,85442,,85442,
80517,15:20:51,753531293,1485,5.0.7.0,30,23961,Female,23961,Other,23961,,23961,
80517,14:17:51,419489010,1466,5.0.7.0,66,128254,Male,128254,White (Caucasian),128254,"As much as I would think I am not judgmental, I kept second guessing my answers wondering if i had a bias towards people by their looks even recognizing that I felt some were more trustworthy just because they smiled.",128254,
80517,13:23:49,247150136,1492,5.0.7.0,46,23258,Male,23258,Other,23258,NONE,23258,
80517,16:20:26,58668553,1474,5.0.7.0,48,27910,Female,27910,White (Caucasian),27910,Wow! That was really interesting. Thank  you!,27910,
80517,16:22:29,850036567,1488,5.0.7.0,47,12615,Female,12615,White (Caucasian),12615,,12615,
80517,16:08:56,350997449,1444,5.0.7.0,37,19777,Female,19777,White (Caucasian),19777,Fun!,19777,
80517,16:14:04,103491580,1453,5.0.7.0,34,51894,Male,51894,White (Caucasian),51894,In retrospect i should have listed them all as 5s for neutral.  I have no reason to trust them or not trust them.  I know nothing about them.,51894,
80517,16:06:51,768446287,1442,5.0.7.0,55,12441,Female,12441,White (Caucasian),12441,,12441,
80517,16:12:46,378957238,1454,5.0.7.0,21,10153,Female,10153,White (Caucasian),10153,,10153,
80517,16:02:08,267554998,1425,5.0.7.0,21,20525,Female,20525,White (Caucasian),20525,It was very easy to complete!,20525,
80517,16:03:12,663515114,1427,5.0.7.0,20,7963,Male,7963,Hispanic,7963,,7963,
80517,15:04:25,255532895,1433,5.0.7.0,35,7880,Female,7880,White (Caucasian),7880,,7880,
80517,16:00:05,171154333,1413,5.0.7.0,40,11052,Male,11052,White (Caucasian),11052,,11052,
80517,16:05:05,79691517,1431,5.0.7.0,34,7106,Female,7106,White (Caucasian),7106,,7106,
80517,13:58:17,741400185,1422,5.0.8.0,40,14922,Female,14922,White (Caucasian),14922,,14922,
80517,15:57:25,459715898,1406,5.0.7.0,44,8637,Male,8637,White (Caucasian),8637,,8637,
80517,12:55:30,920332103,1411,5.0.7.0,22,51344,Female,51344,White (Caucasian),51344,,51344,
80517,12:55:24,910461245,1409,5.0.7.0,22,13599,Male,13599,White (Caucasian),13599,,13599,
80517,12:50:54,776334055,1402,5.0.7.0,27,15897,Female,15897,Hispanic,15897,Thank you for allowing me to take part.,15897,
80517,15:39:03,902394834,1375,5.0.7.0,42,56647,Female,56647,White (Caucasian),56647,would like to know how I did as far as picking how trustworthy I feel people are just by their looks .,56647,
80517,15:35:57,409835786,1373,5.0.7.0,26,5934,Male,5934,White (Caucasian),5934,,5934,
80517,12:44:38,422280288,1394,5.0.7.0,25,12809,Female,12809,White (Caucasian),12809,NONE,12809,
80517,14:35:00,905114988,1376,5.0.7.0,47,10366,Female,10366,White (Caucasian),10366,,10366,
