date,time,group,subject,build,age_response,age_latency,gender_response,gender_latency,race_response,race_code,race_latency,comments_response,comments_latency,
90617,10:11:44,856617875,538382900,5.0.7.0,25,7166,Male,7166,White,w,7166,,7166,
90617,11:09:31,371212818,52337535,5.0.9.0,64,25472,Female,25472,White/caucasian,w,25472,"Thank you, very interesting study.",25472,
90617,09:18:30,483590815,95961922,5.0.7.0,45,10675,Female,10675,WHITE,w,10675,,10675,
90617,08:47:58,527789048,639103373,5.0.9.0,23,13258,Female,13258,european american and east slavic,w,13258,Thanks,13258,
90617,08:40:04,50007566,466015574,5.0.7.0,28,20671,Male,20671,White,w,20671,None that I can currently think of.,20671,
90617,08:38:38,818762138,949728913,5.0.7.0,43,12934,Female,12934,caucasian,w,12934,,12934,
90617,08:30:09,271769807,564667527,5.0.7.0,40,20609,Male,20609,White,w,20609,Thank you for letting me participate!,20609,
90617,08:25:15,333795468,550519767,5.0.7.0,51,14859,Female,14859,white,w,14859,n/a,14859,
90617,08:23:31,871933653,690816900,5.0.9.0,30,79472,Female,79472,White,w,79472,Our mturk ID is not something we regularly memorize have people copy it before starting inqusit next time so we do not have to load it twice and pay is a little poor for this hit as well.,79472,
90617,08:21:09,581743300,697930384,5.0.7.0,25,7356,Male,7356,White,w,7356,,7356,
90617,07:09:27,593705703,537550768,5.0.7.0,51,103255,Female,103255,Caucasian,w,103255,"I know people say we should be color blind..but that's not the solution.  We should be color neutral.  The color of our skin is an identifying trait, like the color of our hair.  It doesn't indicate anything about a person's intellect, abilities, equality, etc.  It's simply a characteristic.",103255,
90617,06:00:44,212324213,156020214,5.0.7.0,53,35576,Male,35576,white,w,35576,it was much longer than it said it was,35576,
90617,06:44:33,936302151,194954320,5.0.7.0,42,23535,Male,23535,White,w,23535,None,23535,
90617,05:52:18,620406079,133678212,5.0.9.0,32,12875,Female,12875,White/Caucasian,w,12875,,12875,
90617,05:44:36,842999343,525345072,5.0.7.0,56,12189,Female,12189,white,w,12189,none,12189,
90617,06:42:46,887875548,388337919,5.0.7.0,31,22551,Female,22551,white,w,22551,easy to follow with no glitches,22551,
90617,06:41:11,339904764,490352948,5.0.7.0,53,23078,Female,23078,Caucasian / American,w,23078,Interesting survey,23078,
90617,06:17:06,537394923,983594461,5.0.7.0,50,29318,Female,29318,american,NA,29318,thank you,29318,
90617,05:34:21,914948873,674525959,5.0.7.0,66,66478,Male,66478,white caucasian,w,66478,"a little too long with the faces, maybe rest it for a minute and then continue",66478,
90617,03:59:27,901825957,374387510,5.0.9.0,60,27067,Female,27067,white,w,27067,no,27067,
90617,04:44:49,593968980,381245727,5.0.7.0,49,22660,Female,22660,white,w,22660,,22660,
90617,03:35:14,622538659,430321473,5.0.7.0,50,11878,Male,11878,White,w,11878,,11878,
90617,01:37:11,506480347,548602704,5.0.7.0,28,22807,Female,22807,White,w,22807,I have no color preference. were all the same to me.,22807,
90617,02:12:48,689225942,52595744,5.0.7.0,49,32352,Female,32352,Caucasian,w,32352,,32352,
90517,23:55:42,129125658,387455168,5.0.7.0,27,10422,Female,10422,White,w,10422,,10422,
90517,23:41:47,434041423,307780263,5.0.7.0,25,12357,Male,12357,White,w,12357,Thank you,12357,
90617,02:18:57,317386275,348261990,5.0.7.0,19,11420,Male,11420,White,w,11420,,11420,
90517,23:23:22,455182402,134292443,5.0.7.0,47,23558,Male,23558,white,w,23558,,23558,
90617,09:16:51,310378337,355269928,5.0.7.0,47,14409,Female,14409,White,w,14409,,14409,
90617,01:19:58,690002259,441254212,5.0.7.0,37,17853,Female,17853,white,w,17853,no,17853,
90517,23:25:21,198670617,785424573,5.0.7.0,53,55407,Female,55407,African American,b,55407,It would be ideal if everyone was treated according to their character and actions before the color of their skin.,55407,
90517,23:23:33,453358220,838812774,5.0.7.0,34,19843,Male,19843,Caucasian,w,19843,,19843,
90517,20:57:10,45935326,692191437,5.0.7.0,60,23850,Male,23850,white,w,23850,None,23850,
90517,22:49:52,915349887,63559742,5.0.7.0,65,23993,Female,23993,WHITE,w,23993,INTERESTING,23993,
90517,23:51:35,575287676,476100452,5.0.7.0,32,31226,Female,31226,black,b,31226,no,31226,
90517,23:52:07,766082729,433957318,5.0.7.0,30,22824,Female,22824,white,w,22824,no,22824,
90517,20:46:45,495038908,869610584,5.0.7.0,40,17676,Male,17676,Latino,NA,17676,,17676,
90517,21:38:06,732407019,318981109,5.0.9.0,28,13216,Male,13216,WHITE,w,13216,,13216,
90517,22:25:54,520784936,233299354,5.0.7.0,40,61125,Female,61125,Black,b,61125,"This is one of those surveys where I wish I could see my results.  It was enjoyable and interesting, thank you.",61125,
90517,22:19:55,465135573,979382263,5.0.7.0,27,8850,Male,8850,White,w,8850,,8850,
90517,22:19:45,700377095,423489531,5.0.7.0,67,13293,Male,13293,white,w,13293,no,13293,
90517,22:14:13,558077078,962614179,5.0.9.0,46,28982,Male,28982,South Asian,NA,28982,It was very fast at times.,28982,
90517,22:14:54,795207606,725483650,5.0.9.0,42,73876,Female,73876,White,w,73876,"I greatly enjoyed taking this survey.  It was fascinating, and I'm curious to know what the results will be!  If possible, can you send me a summary of your findings when the project is complete?  My email is: lauren.schiebel@gmail.com.  Thank you!",73876,
90517,21:15:01,447354842,218293423,5.0.7.0,36,24774,Female,24774,caucasian,w,24774,,24774,
90517,21:45:29,415903701,635484427,5.0.7.0,48,187209,Female,187209,white,w,187209,I found some of the questions difficult--oversimplified.,187209,
90517,21:41:37,756363288,443676759,5.0.7.0,48,77133,Male,77133,white,w,77133,"Interesting study. I found myself looking at the pictures and thinking, ""this guy looks shady as f**k"" and that would subsequently ""taint"" the rest of the group. I also found more trust with the older subjects than the younger group.",77133,
90517,20:23:24,443368502,146106343,5.0.9.0,39,18800,Female,18800,White caucasian,w,18800,,18800,
90517,17:47:06,400561979,434763901,5.0.7.0,21,17507,Female,17507,Black,b,17507,Thank you for the survey,17507,
90517,17:26:07,741392574,429111,5.0.7.0,31,13990,Male,13990,White,w,13990,,13990,
90517,19:24:57,158768866,209575562,5.0.7.0,30,10177,Male,10177,White,w,10177,,10177,
90517,19:17:46,948976393,491846520,5.0.7.0,46,38653,Male,38653,Caucasian,w,38653,You did a very nice job setting this survey up.,38653,
90517,20:17:51,573366539,867158247,5.0.7.0,25,10646,Male,10646,white,w,10646,,10646,
90517,18:01:30,155997903,819216804,5.0.7.0,23,15641,Female,15641,HISPANIC,NA,15641,NONE,15641,
90517,19:50:46,48918726,315730779,5.0.7.0,53,20874,Female,20874,CAUCASIAN/EUROPEAN,w,20874,NO COMMENTS,20874,
90517,16:15:12,602269610,601465360,5.0.7.0,43,12774,Female,12774,Asian,A,12774,none,12774,
90517,16:10:44,648944438,165355746,5.0.7.0,36,13438,Male,13438,White,w,13438,,13438,
90517,17:59:05,462176384,203471881,5.0.7.0,43,288697,Female,288697,hispanic,NA,288697,"I believe in being treated justly, but I DON'T feel that those of us who have sacrificed to get ahead should pay for those that waste their lives away.  I started out just like them, but I made something of myself.  They should do the same.  Poverty doesn't have to be their future.  They determine that, if they would only work for it.  In America, we aren't guaranteed a lush lifestyle.  Rather...we are guaranteed the opportunity of advancement.  I have yet to meet a person that doesn't have the opportunity to better themselves.  It's time Americans stop making excuses for lazy people.",288697,
90517,16:49:08,279735827,626695304,5.0.7.0,34,19967,Male,19967,White,w,19967,Thanks for the opportunity to share my views!,19967,
90517,17:22:34,325385305,18774342,5.0.7.0,39,8503,Male,8503,White,w,8503,,8503,
90517,14:10:46,594568491,380646216,5.0.7.0,33,18244,Female,18244,Caucasian,w,18244,"Nice survey, instructions easy to follow",18244,
90517,17:01:28,24964154,640385983,5.0.9.0,33,12244,Male,12244,white,w,12244,cool hit,12244,
90517,15:52:05,349211498,388915265,5.0.7.0,40,47878,Female,47878,Caucasian,w,47878,That was a little long but it was definitely interesting! Thank you!,47878,
90517,15:56:42,90032289,448841633,5.0.9.0,42,7454,Female,7454,white,w,7454,,7454,
90517,12:12:26,500979413,619223311,5.0.7.0,27,12344,Female,12344,Caucasian,w,12344,,12344,
90517,12:09:03,637157101,7510767,5.0.7.0,33,12630,Male,12630,white,w,12630,No comments.,12630,
90517,13:31:17,891486678,175469933,5.0.7.0,30,36207,Male,36207,white,w,36207,,36207,
90517,11:41:10,294389905,957981706,5.0.7.0,25,8525,Female,8525,white,w,8525,,8525,
83117,17:18:53,56876621,270324245,5.0.7.0,99,9979,Male,9979,asian,NA,9979,test,9979,
82917,22:48:19,315194715,893716217,5.0.7.0,,2235,,2235,,NA,2235,,2235,
82917,22:33:33,74738070,844911314,5.0.7.0,,1270,,1270,,NA,1270,,1270,
