subject,blockcode,trialcode,trialnum,response,latency,stimulusitem3,stimulusitem4,stimulusitem5,stimulusitem6,stimulusitem8,stimulusitem9,stimulusitem10,stimulusitem11,values.gridface1_code,values.gridface2_code,values.gridface3_code,values.gridface4_code,values.gridface5_code,values.gridface6_code,values.gridface7_code,values.gridface8_code,values.avg_grid1,values.avg_grid2,values.variance_grid1,values.variance_grid2,values.trial_retry,values.nTrials,var_grid1,var_grid2,correct_resp_var,correct_var_num,easiness_var,correct_resp_avg,correct_avg_num,easiness_avg
553555587,main_instructions,main_instructions1,1,57,7905,0,0,0,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,100,0,0,NA,NA,0,NA,NA,0
553555587,main_instructions,main_instructions2,2,57,7699,0,0,0,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,100,0,0,NA,NA,0,NA,NA,0
553555587,main_instructions,main_instructions3,3,57,8878,0,0,0,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,100,0,0,NA,NA,0,NA,NA,0
553555587,main_instructions,main_instructions4,4,57,3768,0,0,0,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,100,0,0,NA,NA,0,NA,NA,0
553555587,gridcompare_block,gridcompare_trial,1,50,2640,nexus2_14_tw_-3.00.jpg,nexus2_10_tw_2.00.jpg,nexus2_1_tw_-2.00.jpg,nexus2_7_tw_2.00.jpg,nexus2_13_tw_3.00.jpg,nexus2_5_tw_0.00.jpg,nexus2_15_tw_0.00.jpg,nexus2_20_tw_-3.00.jpg,-3,2,-2,2,3,0,0,-3,-0.25,0,6.916666667,6,0,100,6.916666667,6,38,0,0.916666667,50,1,0.25
553555587,gridcompare_block,gridcompare_trial,2,38,1719,nexus2_2_tw_-2.00.jpg,nexus2_1_tw_-3.00.jpg,nexus2_16_tw_0.00.jpg,nexus2_14_tw_-2.00.jpg,nexus2_4_tw_1.00.jpg,nexus2_18_tw_-3.00.jpg,nexus2_17_tw_0.00.jpg,nexus2_6_tw_-1.00.jpg,-2,-3,0,-2,1,-3,0,-1,-1.75,-0.75,1.583333333,2.916666667,0,100,1.583333333,2.916666667,50,0,1.333333333,50,0,1
553555587,gridcompare_block,gridcompare_trial,3,38,931,nexus2_7_tw_1.00.jpg,nexus2_22_tw_-3.00.jpg,nexus2_14_tw_2.00.jpg,nexus2_1_tw_1.00.jpg,nexus2_10_tw_-3.00.jpg,nexus2_24_tw_0.00.jpg,nexus2_5_tw_3.00.jpg,nexus2_25_tw_-3.00.jpg,1,-3,2,1,-3,0,3,-3,0.25,-0.75,4.916666667,8.25,0,100,4.916666667,8.25,50,0,3.333333333,38,1,1
553555587,gridcompare_block,gridcompare_trial,4,50,1678,nexus2_25_tw_0.00.jpg,nexus2_10_tw_-1.00.jpg,nexus2_18_tw_0.00.jpg,nexus2_9_tw_-3.00.jpg,nexus2_4_tw_-3.00.jpg,nexus2_8_tw_-1.00.jpg,nexus2_7_tw_-3.00.jpg,nexus2_24_tw_1.00.jpg,0,-1,0,-3,-3,-1,-3,1,-1,-1.5,2,3.666666667,0,100,2,3.666666667,50,1,1.666666667,38,0,0.5
553555587,gridcompare_block,gridcompare_trial,5,38,1579,nexus2_14_tw_1.00.jpg,nexus2_20_tw_1.00.jpg,nexus2_10_tw_0.00.jpg,nexus2_1_tw_0.00.jpg,nexus2_17_tw_-2.00.jpg,nexus2_5_tw_-1.00.jpg,nexus2_11_tw_0.00.jpg,nexus2_13_tw_0.00.jpg,1,1,0,0,-2,-1,0,0,0.5,-0.75,0.333333333,0.916666667,0,100,0.333333333,0.916666667,50,0,0.583333333,38,1,1.25
553555587,gridcompare_block,gridcompare_trial,6,38,1774,nexus2_1_tw_-1.00.jpg,nexus2_16_tw_3.00.jpg,nexus2_15_tw_2.00.jpg,nexus2_23_tw_1.00.jpg,nexus2_8_tw_3.00.jpg,nexus2_24_tw_2.00.jpg,nexus2_17_tw_-3.00.jpg,nexus2_5_tw_1.00.jpg,-1,3,2,1,3,2,-3,1,1.25,0.75,2.916666667,6.916666667,0,100,2.916666667,6.916666667,50,0,4,38,1,0.5
553555587,gridcompare_block,gridcompare_trial,7,38,2232,nexus2_9_tw_2.00.jpg,nexus2_2_tw_3.00.jpg,nexus2_17_tw_3.00.jpg,nexus2_13_tw_-2.00.jpg,nexus2_5_tw_-2.00.jpg,nexus2_10_tw_3.00.jpg,nexus2_20_tw_2.00.jpg,nexus2_6_tw_-3.00.jpg,2,3,3,-2,-2,3,2,-3,1.5,0,5.666666667,8.666666667,0,100,5.666666667,8.666666667,50,0,3,38,1,1.5
553555587,gridcompare_block,gridcompare_trial,8,50,1279,nexus2_20_tw_0.00.jpg,nexus2_25_tw_2.00.jpg,nexus2_9_tw_0.00.jpg,nexus2_21_tw_1.00.jpg,nexus2_5_tw_-3.00.jpg,nexus2_10_tw_1.00.jpg,nexus2_2_tw_0.00.jpg,nexus2_14_tw_3.00.jpg,0,2,0,1,-3,1,0,3,0.75,0.25,0.916666667,6.25,0,100,0.916666667,6.25,50,1,5.333333333,38,0,0.5
553555587,gridcompare_block,gridcompare_trial,9,38,1022,nexus2_4_tw_-1.00.jpg,nexus2_1_tw_2.00.jpg,nexus2_25_tw_3.00.jpg,nexus2_7_tw_-2.00.jpg,nexus2_20_tw_-1.00.jpg,nexus2_22_tw_0.00.jpg,nexus2_6_tw_2.00.jpg,nexus2_18_tw_1.00.jpg,-1,2,3,-2,-1,0,2,1,0.5,0.5,5.666666667,1.666666667,0,100,5.666666667,1.666666667,38,1,4,NA,NA,0
553555587,gridcompare_block,gridcompare_trial,10,38,1669,nexus2_8_tw_-2.00.jpg,nexus2_3_tw_-1.00.jpg,nexus2_14_tw_0.00.jpg,nexus2_18_tw_3.00.jpg,nexus2_15_tw_-3.00.jpg,nexus2_6_tw_3.00.jpg,nexus2_10_tw_-2.00.jpg,nexus2_16_tw_-3.00.jpg,-2,-1,0,3,-3,3,-2,-3,0,-1.25,4.666666667,8.25,0,100,4.666666667,8.25,50,0,3.583333333,38,1,1.25
553555587,gridcompare_block,gridcompare_trial,11,38,2404,nexus2_13_tw_1.00.jpg,nexus2_24_tw_3.00.jpg,nexus2_25_tw_-1.00.jpg,nexus2_14_tw_-1.00.jpg,nexus2_15_tw_3.00.jpg,nexus2_3_tw_-2.00.jpg,nexus2_4_tw_3.00.jpg,nexus2_5_tw_2.00.jpg,1,3,-1,-1,3,-2,3,2,0.5,1.5,3.666666667,5.666666667,0,100,3.666666667,5.666666667,50,0,2,50,0,1
